Position,Velocity,Smoothing_Length,Internal_Energy,Pressure,Density,Acceleration
-0.1,-0.02016103415363179,0.012,0.0,117860.81661522559,1.0018004115226273,3196.9114655882104
-0.09,-0.018378859067779554,0.012,0.0,117860.81661522559,1.0018004115226273,3196.9114655882104
-0.08,-0.016524151021688784,0.012,0.0,117860.81661522615,1.0018004115226322,3196.9114655882026
-0.07,-0.014604229700681952,0.012,0.0,117860.81661522621,1.0018004115226327,3196.911465588199
-0.06,-0.012626672157084394,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
-0.049999999999999996,-0.010599282907060647,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
-0.039999999999999994,-0.008530063129754451,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
-0.03,-0.006427179090290298,0.012,0.0,117860.81661522621,1.0018004115226327,3196.911465588197
-0.01999999999999999,-0.00429892991125559,0.012,0.0,117860.81661522631,1.0018004115226335,3196.9114655881885
-0.009999999999999981,-0.0021537148198553843,0.012,0.0,117860.81661522744,1.001800411522643,3196.911465914131
1.3877787807814457e-17,2.9908472370424022e-18,0.012,0.0,117860.81661522687,1.0018004115226382,3196.9114658489434
0.010000000000000009,0.002153714819855451,0.012,0.0,117860.81661522645,1.0018004115226347,3196.9114657195896
0.020000000000000018,0.00429892991125564,0.012,0.0,117860.81661522637,1.001800411522634,3196.9114655892117
0.030000000000000027,0.00642717909029036,0.012,0.0,117860.81661522634,1.0018004115226338,3196.911465719595
0.04000000000000001,0.00853006312975452,0.012,0.0,117860.81661522631,1.0018004115226335,3196.9114657195955
0.05000000000000002,0.0105992829070607,0.012,0.0,117860.81661522634,1.0018004115226338,3196.911465589213
0.060000000000000026,0.01262667215708446,0.012,0.0,117860.81661522631,1.0018004115226335,3196.911465588195
0.07000000000000003,0.014604229700682,0.012,0.0,117860.81661522629,1.0018004115226333,3196.911465589214
0.08000000000000004,0.016524151021688843,0.012,0.0,117860.81661522637,1.001800411522634,3196.911465719595
0.09000000000000002,0.01837885906777959,0.012,0.0,117860.81661522631,1.0018004115226335,3196.911465719595
0.10000000000000003,0.020161034153631834,0.012,0.0,117860.81661522629,1.0018004115226333,3196.9114655902326
0.11000000000000004,0.02186364284838007,0.012,0.0,117860.81661522637,1.001800411522634,3196.9114657195955
0.12000000000000002,0.023479965733354025,0.012,0.0,117860.81661522629,1.0018004115226333,3196.9114657195964
0.13000000000000003,0.025003623920554423,0.012,0.0,117860.81661522624,1.0018004115226329,3196.911465589215
0.14000000000000004,0.02642860422720958,0.012,0.0,117860.81661522637,1.001800411522634,3196.911465588195
0.15000000000000005,0.027749282907060704,0.012,0.0,117860.81661522637,1.001800411522634,3196.9114655881945
0.16000000000000006,0.028960447844719125,0.012,0.0,117860.81661522624,1.0018004115226329,3196.911465589214
0.17000000000000007,0.030057319125504533,0.012,0.0,117860.81661522637,1.001800411522634,3196.9114659151683
0.18000000000000002,0.031035567899584476,0.012,0.0,117860.81661522637,1.001800411522634,3196.911465915168
0.19000000000000003,0.03189133346596703,0.012,0.0,117860.81661522624,1.0018004115226329,3196.911465589214
0.20000000000000004,0.032621238508923775,0.012,0.0,117860.81661522637,1.001800411522634,3196.911465588195
0.21000000000000005,0.03322240242671205,0.012,0.0,117860.81661522637,1.001800411522634,3196.911465588195
0.22000000000000006,0.033692452699994026,0.012,0.0,117860.81661522624,1.0018004115226329,3196.9114655881963
0.23000000000000007,0.0340295342550866,0.012,0.0,117860.81661522631,1.0018004115226335,3196.9114655881995
0.24000000000000007,0.03423231678508972,0.012,0.0,117860.81661522573,1.0018004115226287,3196.9114657185887
0.2500000000000001,0.034300000000000004,0.012,0.0,117860.81661522566,1.001800411522628,3196.911465718586
0.2600000000000001,0.03423231678508972,0.012,0.0,117860.81661522678,1.0018004115226375,3196.911465914144
0.27,0.03402953425508659,0.012,0.0,117860.81661522687,1.0018004115226382,3196.911465914138
0.28,0.033692452699994026,0.012,0.0,117860.81661522658,1.0018004115226358,3196.911465588186
0.29000000000000004,0.03322240242671205,0.012,0.0,117860.81661522652,1.0018004115226353,3196.9114655881904
0.30000000000000004,0.03262123850892377,0.012,0.0,117860.81661522624,1.0018004115226329,3196.911465588196
0.31000000000000005,0.03189133346596702,0.012,0.0,117860.81661522621,1.0018004115226327,3196.911465588198
0.32000000000000006,0.031035567899584473,0.012,0.0,117860.81661522618,1.0018004115226324,3196.9114655882
0.33000000000000007,0.03005731912550452,0.012,0.0,117860.8166152259,1.00180041152263,3196.9114655882036
0.3400000000000001,0.028960447844719118,0.012,0.0,117860.81661522592,1.0018004115226302,3196.9114655882036
0.3500000000000001,0.027749282907060694,0.012,0.0,117860.81661522618,1.0018004115226324,3196.9114655882004
0.3600000000000001,0.02642860422720956,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.3700000000000001,0.025003623920554406,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.3800000000000001,0.02347996573335401,0.012,0.0,117860.81661522624,1.0018004115226329,3196.911465588196
0.3900000000000001,0.021863642848380042,0.012,0.0,117860.81661522652,1.0018004115226353,3196.9114655881913
0.40000000000000013,0.020161034153631806,0.012,0.0,117860.81661522652,1.0018004115226353,3196.9114655881913
0.41000000000000014,0.01837885906777956,0.012,0.0,117860.81661522624,1.0018004115226329,3196.911465588196
0.42000000000000015,0.016524151021688808,0.012,0.0,117860.81661522621,1.0018004115226327,3196.911465588198
0.43000000000000016,0.014604229700681962,0.012,0.0,117860.81661522618,1.0018004115226324,3196.9114655881995
0.44000000000000017,0.01262667215708442,0.012,0.0,117860.81661522595,1.0018004115226304,3196.9114655881986
0.4500000000000002,0.010599282907060659,0.012,0.0,117860.81661522655,1.0018004115226355,3196.911465914146
0.4600000000000001,0.008530063129754507,0.012,0.0,117860.81661522681,1.0018004115226378,3196.911465914142
0.4700000000000001,0.0064271790902903385,0.012,0.0,117860.81661522626,1.001800411522633,3196.911465588193
0.4800000000000001,0.004298929911255616,0.012,0.0,117860.81661522621,1.0018004115226327,3196.911465588197
0.4900000000000001,0.0021537148198554255,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.5000000000000001,-2.6263981274638876e-17,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.5100000000000001,-0.002153714819855463,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.5200000000000001,-0.0042989299112556525,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.5300000000000001,-0.006427179090290376,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.5400000000000001,-0.008530063129754543,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.5500000000000002,-0.010599282907060721,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.5600000000000002,-0.012626672157084483,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.5700000000000002,-0.014604229700682023,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
0.5800000000000002,-0.016524151021688867,0.012,0.0,117860.81661522621,1.0018004115226327,3196.9114655881986
