Position Velocity Mass Smoothing_Length Internal_Energy Pressure
1.000000000000000000e+00 -8.401077042150843812e-18 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.010101010101010166e+00 2.175440444220176975e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.020202020202020110e+00 4.342121157579576125e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.030303030303030276e+00 6.491317681562067989e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.040404040404040442e+00 8.614375960311006566e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.050505050505050608e+00 1.070274718745812051e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.060606060606060552e+00 1.274802222914921124e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.070707070707070718e+00 1.474196548465858334e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.080808080808080884e+00 1.667654804824609399e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.090909090909090828e+00 1.854398003872698153e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.101010101010100994e+00 2.033674196657417332e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.111111111111111160e+00 2.204761501224829917e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.121212121212121104e+00 2.366971009383641092e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.131313131313131271e+00 2.519649560695337923e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.141414141414141437e+00 2.662182372520726162e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.151515151515151603e+00 2.793995515532653184e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.161616161616161547e+00 2.914558224726834096e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.171717171717171713e+00 3.023385036625205607e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.181818181818181879e+00 3.120037744065998209e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.191919191919192045e+00 3.204127160709317051e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.202020202020201989e+00 3.275314688153173337e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.212121212121212155e+00 3.333313679349748926e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.222222222222222321e+00 3.377890592831873928e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.232323232323232265e+00 3.408865933102102341e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.242424242424242431e+00 3.426114973397717534e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.252525252525252597e+00 3.429568257921392083e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.262626262626262541e+00 3.419211881515162726e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.272727272727272707e+00 3.395087545651599703e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.282828282828282873e+00 3.357292390516691122e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.292929292929292817e+00 3.305978603860602882e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.303030303030302983e+00 3.241352808191313301e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.313131313131313149e+00 3.163675228778715237e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.323232323232323315e+00 3.073258645819283361e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.333333333333333481e+00 2.970467134980623453e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.343434343434343425e+00 2.855714601397268612e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.353535353535353591e+00 2.729463113020753548e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.363636363636363757e+00 2.592221040035105895e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.373737373737373701e+00 2.444541007829499971e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.383838383838383868e+00 2.287017671770881153e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.393939393939394034e+00 2.120285322736677538e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.404040404040403978e+00 1.945015333049306128e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.414141414141414144e+00 1.761913453096786847e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.424242424242424310e+00 1.571716969525016258e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.434343434343434254e+00 1.375191736444689866e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.444444444444444420e+00 1.173129091607043838e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.454545454545454586e+00 9.663426699661047115e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.464646464646464752e+00 7.556651274578359348e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.474747474747474918e+00 5.419447881885864661e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.484848484848484862e+00 3.260422285333496647e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.494949494949495028e+00 1.088268118983698636e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.505050505050505194e+00 -1.088268118983734415e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.515151515151515138e+00 -3.260422285333471060e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.525252525252525304e+00 -5.419447881885900223e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.535353535353535470e+00 -7.556651274578334194e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.545454545454545414e+00 -9.663426699661021094e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.555555555555555580e+00 -1.173129091607041409e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.565656565656565746e+00 -1.375191736444687438e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.575757575757575690e+00 -1.571716969525014176e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.585858585858585856e+00 -1.761913453096785112e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.595959595959596022e+00 -1.945015333049304046e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.606060606060605966e+00 -2.120285322736675457e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.616161616161616355e+00 -2.287017671770883928e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.626262626262626299e+00 -2.444541007829498236e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.636363636363636465e+00 -2.592221040035107976e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.646464646464646631e+00 -2.729463113020755977e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.656565656565656575e+00 -2.855714601397266877e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.666666666666666741e+00 -2.970467134980625187e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.676767676767676907e+00 -3.073258645819282320e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.686868686868686851e+00 -3.163675228778713849e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.696969696969697017e+00 -3.241352808191312607e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.707070707070707183e+00 -3.305978603860602882e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.717171717171717127e+00 -3.357292390516690428e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.727272727272727293e+00 -3.395087545651599703e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.737373737373737459e+00 -3.419211881515162726e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.747474747474747403e+00 -3.429568257921392083e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.757575757575757791e+00 -3.426114973397717534e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.767676767676767735e+00 -3.408865933102102341e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.777777777777777679e+00 -3.377890592831874622e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.787878787878788067e+00 -3.333313679349747538e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.797979797979798011e+00 -3.275314688153174725e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.808080808080808177e+00 -3.204127160709315664e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.818181818181818343e+00 -3.120037744065998209e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.828282828282828287e+00 -3.023385036625206995e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.838383838383838453e+00 -2.914558224726835137e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.848484848484848619e+00 -2.793995515532649368e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.858585858585858563e+00 -2.662182372520727897e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.868686868686868729e+00 -2.519649560695341739e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.878787878787878896e+00 -2.366971009383643174e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.888888888888888840e+00 -2.204761501224834080e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.898989898989899228e+00 -2.033674196657411781e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.909090909090909172e+00 -1.854398003872700235e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.919191919191919116e+00 -1.667654804824609052e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.929292929292929504e+00 -1.474196548465855038e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.939393939393939448e+00 -1.274802222914926154e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.949494949494949614e+00 -1.070274718745808755e-02 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.959595959595959780e+00 -8.614375960311003097e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.969696969696969724e+00 -6.491317681562063652e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.979797979797979890e+00 -4.342121157579601279e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.989898989898990056e+00 -2.175440444220171771e-03 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 -1.680215408430168762e-17 1.010101010101010187e-02 1.212121212121212120e-02 0.000000000000000000e+00 0.000000000000000000e+00
